basin,BT,code,year,DIC,NH4,DIP,NOx,DIN,BW_O2,ChlA.inv,OC.inv,TN.inv,IP.inv,TP.inv,CN
BP,ET,U,2009,10.1035244215,0.646401737,0.026743335,NA,0.6872008395,191,9.224839734,3.33548452,0.414936507,NA,NA,8.038541954564629
BP,ET,U,2010,NA,NA,NA,NA,NA,191,NA,1.298020643,0.155453736,NA,NA,8.34988387155906
BP,ET,V,2008,NA,NA,NA,NA,NA,27,21.43630317,9.972808507,1.220751729,NA,NA,8.169399452884166
BP,ET,V,2009,26.2415313275,0.259970844,-0.21881415175000002,NA,-0.105002867,36,27.94198294,5.992890211,0.641372713,NA,NA,9.34384966733064
BP,ET,V,2010,NA,NA,NA,NA,NA,14,NA,6.566556334,0.725559299,NA,NA,9.050337226812939
BP,ET,W015,2020,5.22957170175,0.0282017804,NA,NA,NA,210,NA,14.91128403,1.558690738,0.231582823,0.263878387,9.566544322405539
GOB,A,GOB1,2013,9.98563909925,0.3847531995,0.018114506333333332,0.100996636,0.514507163,303,0.683196706,46.92511509,3.643524137,NA,NA,12.879046034984452
GOB,A,GOB1,2014,5.229478095999999,0.033786485,0.0309242355,0.076248433,0.098992337,341,NA,49.07253144,3.392926516,0.568383317,1.188872995,14.46318722453581
GOB,A,GOB2,2013,9.915306732,0.23013551100000001,0.07334257799999999,0.133621703,0.20304322733333335,287,2.016437851,31.66784894,2.460785424,NA,NA,12.869000535822419
GOB,A,GOB2,2014,6.8510781795,0.058509878,0.06535348675,0.167384266,0.202851563,294,NA,42.84825358,3.148162479,0.386091698,0.954057056,13.610559768062085
GOB,ET,GOB3,2013,4.641060848,-0.009783178333333333,0.01739758,-0.165509875,-0.158111537,208,0.222315198,5.513418961,0.530174462,NA,NA,10.399254125144942
GOB,ET,GOB3,2014,NA,NA,NA,NA,NA,179,NA,6.336834138,0.544622504,0.109299814,0.196795213,11.635277814373973
GOF,A,GF1,2002,13.242188873,1.6477118825,1.3977683060000001,NA,2.026839712666667,0,NA,26.86913405,2.934732334,NA,NA,9.155565479928365
GOF,A,GF2,2002,29.724572363333333,3.1117311136666665,1.3517347,NA,4.3955531235,0,NA,27.35358035,2.554339757,NA,NA,10.70866953976632
GOF,A,KAS,2003,NA,0.56077445475,0.077170552,1.460395829,0.972549016,150,50.787646,24.31334935,2.721922115,NA,0.369255408,8.932419195984233
GOF,A,KAS,2004,12.369301182416667,0.12402304920000001,0.0014958000000000003,-0.01163001663333333,0.23189987999999997,214,65.56371833,14.1978838,1.436930815,NA,0.488631902,9.8807010412676
GOF,A,KAS,2005,14.494749739208334,0.10714977750000002,-0.021191031083333332,-0.24186937625,-0.130725694,210,69.8712483,37.55709409,4.842255532,NA,NA,7.756115686544069
GOF,A,PV1,2003,NA,2.42997529375,1.54701607525,-0.28163758175000003,0.8993294543333333,1,74.669718,23.94343827,2.680915911,NA,0.135748143,8.931066495505611
GOF,A,PV1,2004,25.07865215175,1.58724402975,0.02117621033333333,-0.39995617775000003,1.0140976516666667,144,85.30107113,23.04602736,2.580587288,NA,0.131932515,8.930535877304532
GOF,A,PV1,2005,45.185743777750005,5.7647184734,1.3022754019,-1.3136377445,4.112244168041666,10,867.9,11.91588676,1.86683369,NA,NA,6.382939639363375
GOF,ET,GF5,2002,5.195768108999999,0.691923216,-0.780196001,NA,0.871137016,340,NA,18.16609492,1.601498929,NA,NA,11.343182684076588
GOF,ET,GF6,2002,11.84734395375,-1.0125727095000001,0.06387234450000001,NA,-1.149620534,320,NA,12.21930891,0.990435403,NA,NA,12.337310311190482
GOF,ET,XV1,2003,NA,NA,0.115170777,NA,NA,85,48.321168,14.89808885,1.634074022,NA,0.114675492,9.117144419054965
GOF,ET,XV1,2005,5.827321201499999,-0.177477152,-0.0721127425,-1.3533209516666667,-0.433970394625,285,61.36105052,20.97040599,2.131919412,NA,NA,9.836397132069456
